Title,playerNum,Online,Genre,Publisher,RS,Sales,UP,Console,AgeRating,Year
Super Mario 64 DS,1,TRUE,Action,Nintendo,85,4.69,24.95,Nintendo DS,E,2004
Lumines: Puzzle Fusion,1,TRUE,Strategy,Ubisoft,89,0.56,14.95,Sony PSP,E,2004
WarioWare Touched!,2,TRUE,"Action,Racing / Driving,Sports",Nintendo,81,0.54,22.95,Nintendo DS,E,2004
Hot Shots Golf: Open Tee,1,TRUE,Sports,Sony,81,0.49,12.95,Sony PSP,E,2004
Spider-Man 2,1,TRUE,Action,Activision,61,0.45,14.95,Nintendo DS,E,2004
The Urbz: Sims in the City,1,TRUE,Simulation,EA,67,0.41,12.95,Nintendo DS,M,2004
Ridge Racer,1,TRUE,Racing / Driving,Namco,88,0.36,19.95,Sony PSP,E,2004
Metal Gear Ac!d,1,TRUE,Strategy,Konami,75,0.34,17.95,Sony PSP,E,2004
Madden NFL 2005,1,TRUE,Sports,EA,68,0.25,8.95,Nintendo DS,T,2004
Pokmon Dash,1,TRUE,Racing / Driving,Nintendo,46,0.22,24.95,Nintendo DS,T,2004
Dynasty Warriors,1,TRUE,"Action,Adventure,Role-Playing (RPG)",,62,0.2,14.95,Sony PSP,E,2004
Feel the Magic XY/XX,1,TRUE,"Action,Adventure,Racing / Driving,Sports",Sega,75,0.16,8.95,Nintendo DS,T,2004
Ridge Racer DS,1,TRUE,Racing / Driving,Namco,63,0.15,9.95,Nintendo DS,E,2004
Darkstalkers Chronicle: The Chaos Tower,1,TRUE,Action,Capcom,74,0.14,14.95,Sony PSP,E,2004
Ape Escape Academy,4,TRUE,"Action,Sports",Sony,51,0.13,14.95,Sony PSP,E,2004
Polarium,1,TRUE,Strategy,Nintendo,73,0.12,8.95,Nintendo DS,E,2004
Asphalt: Urban GT,1,TRUE,"Racing / Driving,Simulation",Ubisoft,60,0.11,14.95,Nintendo DS,E,2004
Zoo Keeper,1,TRUE,Action,,74,0.1,14.95,Nintendo DS,T,2004
Mr. DRILLER: Drill Spirits,1,TRUE,Action,Namco,72,0.09,14.95,Nintendo DS,T,2004
Sprung,1,TRUE,Adventure,Ubisoft,48,0.06,8.95,Nintendo DS,E,2004
Armored Core: Formula Front - Extreme Battle,1,TRUE,"Action,Strategy",,66,0.05,16.95,Sony PSP,E,2004
Puyo Pop Fever,1,TRUE,"Action,Strategy",Sega,76,0.04,19.95,Nintendo DS,E,2004
Mario Kart DS,1,TRUE,Racing / Driving,Nintendo,91,9.99,29.95,Nintendo DS,E,2005
Nintendogs,1,TRUE,Simulation,Nintendo,83,9.72,26.95,Nintendo DS,E,2005
Brain Age: Train Your Brain in Minutes a Day!,1,TRUE,Action,Nintendo,77,5.07,17.95,Nintendo DS,M,2005
Brain Agey: More Training in Minutes a Day!,1,TRUE,Action,Nintendo,77,3.65,17.95,Nintendo DS,E,2005
Grand Theft Auto: Liberty City Stories,1,TRUE,"Action,Racing / Driving","Capcom,Rockstar",88,2.97,17.95,Sony PSP,E,2005
Animal Crossing: Wild World,1,TRUE,Simulation,Nintendo,86,2.6,24.95,Nintendo DS,T,2005
Big Brain Academy,1,TRUE,Action,Nintendo,74,1.77,16.95,Nintendo DS,E,2005
Call of Duty 2,4,TRUE,Action,"Activision,Konami",89,1.69,17.95,X360,E,2005
Midnight Club 3: DUB Edition,1,TRUE,Racing / Driving,Rockstar,74,1.69,14.95,Sony PSP,T,2005
Need for Speed: Most Wanted 5-1-0,1,TRUE,Racing / Driving,EA,72,1.67,14.95,Sony PSP,M,2005
Pokmon Mystery Dungeon: Blue Rescue Team,1,TRUE,Role-Playing (RPG),Nintendo,62,1.22,14.95,Nintendo DS,T,2005
Sonic Rush,1,TRUE,Action,Sega,82,1.2,14.95,Nintendo DS,E,2005
Star Wars: Battlefront II,1,TRUE,Action,,69,1.09,16.95,Sony PSP,E,2005
SOCOM: U.S. Navy SEALs - Fireteam Bravo,1,TRUE,Action,Sony,82,1.07,14.95,Sony PSP,E,2005
Need for Speed: Most Wanted,2,TRUE,Racing / Driving,EA,83,0.95,17.95,X360,E,2005
Zoo Tycoon DS,1,TRUE,"Simulation,Strategy",THQ,44,0.92,12.95,Nintendo DS,T,2005
The Sims 2,1,TRUE,"Role-Playing (RPG),Simulation",EA,70,0.83,17.95,Nintendo DS,M,2005
Mario & Luigi: Partners in Time,1,TRUE,"Action,Role-Playing (RPG)",Nintendo,86,0.75,29.95,Nintendo DS,E,2005
Madden NFL 06,1,TRUE,Sports,EA,75,0.75,7.95,Sony PSP,E,2005
Need for Speed Underground: Rivals,4,TRUE,Racing / Driving,EA,74,0.73,17.95,Sony PSP,E,2005
Twisted Metal: Head-On,1,TRUE,"Action,Racing / Driving",Sony,79,0.73,14.95,Sony PSP,E,2005
Perfect Dark Zero,4,TRUE,Action,Microsoft,79,0.7,17.95,X360,E,2005
Super Monkey Ball: Touch & Roll,1,TRUE,Action,Sega,63,0.7,15.95,Nintendo DS,T,2005
Super Princess Peach,1,TRUE,Action,Nintendo,75,0.7,29.95,Nintendo DS,T,2005
Burnout Legends,1,TRUE,"Action,Racing / Driving",EA,86,0.68,14.95,Sony PSP,T,2005
Madden NFL 06,2,TRUE,Sports,EA,74,0.62,4.95,X360,E,2005
Clubhouse Games,1,TRUE,Strategy,Nintendo,83,0.61,17.95,Nintendo DS,E,2005
ATV Offroad Fury: Blazin' Trails,4,TRUE,"Racing / Driving,Sports",Sony,63,0.56,12.95,Sony PSP,T,2005
Untold Legends: Brotherhood of the Blade,1,TRUE,"Action,Role-Playing (RPG)","Activision,Sony",68,0.56,12.95,Sony PSP,M,2005
Tony Hawk's Underground 2: Remix,1,TRUE,Sports,Activision,83,0.49,14.95,Sony PSP,T,2005
The Sims 2,1,TRUE,"Simulation,Strategy",EA,65,0.46,14.95,Sony PSP,T,2005
WipEout Pure,1,TRUE,"Action,Racing / Driving",Sony,88,0.45,12.95,Sony PSP,E,2005
NBA Live 06,1,TRUE,Sports,EA,80,0.42,9.95,Sony PSP,E,2005
WWE Smackdown vs. Raw 2006,4,TRUE,"Action,Sports",THQ,81,0.38,14.95,Sony PSP,T,2005
Dead or Alive 4,4,TRUE,Action,,85,0.38,17.95,X360,E,2005
